GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mybatis2,com.ibatis.common.util,PaginatedArrayList,171,203,1,25,52,46,25,26,24,14
mybatis2,com.ibatis.sqlmap.engine.cache.lru,LruCacheController,8,100,1,7,4,28,3,9,2,6
mybatis2,com.ibatis.sqlmap.engine.transaction,TransactionState,0,17,0,0,0,4,0,1,0,1
mybatis2,com.ibatis.sqlmap.engine.transaction,TransactionManager,0,131,4,20,0,41,4,14,0,6
mybatis2,com.ibatis.sqlmap.engine.transaction,BaseTransactionConfig,7,17,0,0,4,7,3,5,3,5
mybatis2,com.ibatis.sqlmap.engine.transaction,TransactionException,12,4,0,0,6,2,3,1,3,1
mybatis2,com.ibatis.sqlmap.engine.transaction,IsolationLevel,17,24,4,2,4,9,3,4,0,4
mybatis2,com.ibatis.common.jdbc,SimpleDataSource,743,552,85,59,164,128,85,28,30,11
mybatis2,com.ibatis.common.jdbc,SimpleDataSource.SimplePooledConnection,227,144,12,10,59,39,50,19,41,17
mybatis2,com.ibatis.common.jdbc,DbcpConfiguration,261,0,38,0,65,0,26,0,7,0
mybatis2,com.ibatis.common.jdbc,ScriptRunner,189,210,29,25,49,67,24,15,3,9
mybatis2,com.ibatis.common.xml,NodeletParser,28,304,1,9,6,84,1,15,0,11
mybatis2,com.ibatis.common.xml,NodeletUtils,9,125,4,12,3,32,6,8,2,4
mybatis2,com.ibatis.common.xml,NodeletException,16,0,0,0,8,0,4,0,4,0
mybatis2,com.ibatis.common.xml,NodeletParser.new ErrorHandler() {...},5,6,0,0,3,1,3,1,3,1
mybatis2,com.ibatis.common.xml,NodeletParser.new ErrorHandler() {...},5,6,0,0,3,1,3,1,3,1
mybatis2,com.ibatis.common.xml,NodeletParser.Path,25,59,2,4,5,13,2,6,1,4
mybatis2,com.ibatis.sqlmap.engine.mapping.sql,SqlText,0,41,0,0,0,12,0,8,0,8
mybatis2,com.ibatis.sqlmap.client,SqlMapException,12,4,0,0,6,2,3,1,3,1
mybatis2,com.ibatis.sqlmap.client,SqlMapClientBuilder,16,13,0,0,4,2,3,2,3,2
mybatis2,com.ibatis.sqlmap.engine.mapping.parameter,InlineParameterMapParser,162,381,22,43,40,107,18,24,0,7
mybatis2,com.ibatis.sqlmap.engine.mapping.parameter,ParameterMap,44,272,11,25,11,67,15,23,5,15
mybatis2,com.ibatis.sqlmap.engine.mapping.parameter,ParameterMapping,37,127,6,10,9,44,10,23,5,20
mybatis2,com.ibatis.sqlmap.engine.mapping.parameter,NoParameterMap,15,0,0,0,6,0,4,0,4,0
mybatis2,com.ibatis.sqlmap.engine.mapping.statement,MappedStatement,87,590,3,29,22,159,7,50,4,37
mybatis2,com.ibatis.sqlmap.engine.mapping.statement,DefaultRowHandler,0,21,0,0,0,7,0,4,0,4
mybatis2,com.ibatis.sqlmap.engine.mapping.statement,InsertStatement,17,10,0,0,4,4,4,3,4,3
mybatis2,com.ibatis.sqlmap.engine.mapping.statement,SelectKeyStatement,10,17,0,0,2,7,2,5,2,5
mybatis2,com.ibatis.sqlmap.engine.mapping.statement,DeleteStatement,17,3,0,0,4,1,4,1,4,1
mybatis2,com.ibatis.sqlmap.engine.mapping.statement,ProcedureStatement,24,22,2,0,5,5,3,3,2,3
mybatis2,com.ibatis.sqlmap.engine.mapping.statement,UpdateStatement,17,3,0,0,4,1,4,1,4,1
mybatis2,com.ibatis.sqlmap.engine.mapping.statement,CachingStatement,75,120,4,8,20,31,18,9,14,7
mybatis2,com.ibatis.sqlmap.engine.mapping.statement,RowHandlerCallback,9,100,1,7,2,28,1,7,0,4
mybatis2,com.ibatis.sqlmap.engine.mapping.statement,SelectStatement,7,3,0,0,2,1,2,1,2,1
mybatis2,com.ibatis.sqlmap.engine.mapping.statement,StatementType,25,0,0,0,6,0,1,0,1,0
mybatis2,com.ibatis.sqlmap.engine.mapping.statement,PaginatedDataList,163,321,8,22,34,67,30,24,26,13
mybatis2,com.ibatis.common.logging.jdk14,Jdk14LoggingImpl,38,0,0,0,12,0,6,0,6,0
mybatis2,com.ibatis.sqlmap.engine.mapping.sql.dynamic.elements,IsNotEmptyTagHandler,0,13,0,2,0,2,0,3,0,2
